GENE	OCCURRENCE	SOURCE
ABL1	7	ONCOKB
AKT1	7	ONCOKB
ALK	7	ONCOKB
AMER1	7	ONCOKB
APC	7	ONCOKB
AR	7	ONCOKB
ARID1A	7	ONCOKB
ASXL1	7	ONCOKB
ATM	7	ONCOKB
ATRX	7	ONCOKB
AXIN1	7	ONCOKB
BAP1	7	ONCOKB
BCL2	7	ONCOKB
BCOR	7	ONCOKB
BRAF	7	ONCOKB
BRCA1	7	ONCOKB
BRCA2	7	ONCOKB
CARD11	7	ONCOKB
CBL	7	ONCOKB
CDC73	7	ONCOKB
CDH1	7	ONCOKB
CDKN2A	7	ONCOKB
CEBPA	7	ONCOKB
CIC	7	ONCOKB
CREBBP	7	ONCOKB
CTNNB1	7	ONCOKB
DAXX	7	ONCOKB
DNMT3A	7	ONCOKB
EGFR	7	ONCOKB
EP300	7	ONCOKB
ERBB2	7	ONCOKB
EZH2	7	ONCOKB
FBXW7	7	ONCOKB
FGFR2	7	ONCOKB
FGFR3	7	ONCOKB
FLT3	7	ONCOKB
FOXL2	7	ONCOKB
GATA3	7	ONCOKB
GNA11	7	ONCOKB
GNAQ	7	ONCOKB
GNAS	7	ONCOKB
HNF1A	7	ONCOKB
HRAS	7	ONCOKB
IDH1	7	ONCOKB
IDH2	7	ONCOKB
JAK1	7	ONCOKB
JAK2	7	ONCOKB
JAK3	7	ONCOKB
KDM5C	7	ONCOKB
KDM6A	7	ONCOKB
KIT	7	ONCOKB
KMT2D	7	ONCOKB
KRAS	7	ONCOKB
MAP2K1	7	ONCOKB
MAP3K1	7	ONCOKB
MED12	7	ONCOKB
MEN1	7	ONCOKB
MET	7	ONCOKB
MLH1	7	ONCOKB
MPL	7	ONCOKB
MSH2	7	ONCOKB
MSH6	7	ONCOKB
MYD88	7	ONCOKB
NF1	7	ONCOKB
NF2	7	ONCOKB
NFE2L2	7	ONCOKB
NOTCH1	7	ONCOKB
NOTCH2	7	ONCOKB
NPM1	7	ONCOKB
NRAS	7	ONCOKB
PAX5	7	ONCOKB
PBRM1	7	ONCOKB
PDGFRA	7	ONCOKB
PIK3CA	7	ONCOKB
PIK3R1	7	ONCOKB
PPP2R1A	7	ONCOKB
PRDM1	7	ONCOKB
PTCH1	7	ONCOKB
PTEN	7	ONCOKB
PTPN11	7	ONCOKB
RB1	7	ONCOKB
RET	7	ONCOKB
RNF43	7	ONCOKB
SETD2	7	ONCOKB
SF3B1	7	ONCOKB
SMAD2	7	ONCOKB
SMAD4	7	ONCOKB
SMARCA4	7	ONCOKB
SMARCB1	7	ONCOKB
SMO	7	ONCOKB
SOCS1	7	ONCOKB
SPOP	7	ONCOKB
STAG2	7	ONCOKB
STK11	7	ONCOKB
TET2	7	ONCOKB
TNFAIP3	7	ONCOKB
TP53	7	ONCOKB
TSC1	7	ONCOKB
U2AF1	7	ONCOKB
VHL	7	ONCOKB
WT1	7	ONCOKB
AKT2	6	ONCOKB
ARID2	6	ONCOKB
ATR	6	ONCOKB
B2M	6	ONCOKB
BARD1	6	ONCOKB
BCL6	6	ONCOKB
BRD4	6	ONCOKB
BRIP1	6	ONCOKB
BTK	6	ONCOKB
CALR	6	ONCOKB
CASP8	6	ONCOKB
CBFB	6	ONCOKB
CCND1	6	ONCOKB
CCND2	6	ONCOKB
CCND3	6	ONCOKB
CCNE1	6	ONCOKB
CD274	6	ONCOKB
CD79A	6	ONCOKB
CD79B	6	ONCOKB
CDK12	6	ONCOKB
CDK4	6	ONCOKB
CDK6	6	ONCOKB
CDKN1B	6	ONCOKB
CDKN2C	6	ONCOKB
CHEK2	6	ONCOKB
CRLF2	6	ONCOKB
CSF1R	6	ONCOKB
CSF3R	6	ONCOKB
CTCF	6	ONCOKB
CXCR4	6	ONCOKB
DDR2	6	ONCOKB
ERBB3	6	ONCOKB
ERBB4	6	ONCOKB
ERG	6	ONCOKB
ESR1	6	ONCOKB
ETV6	6	ONCOKB
FANCA	6	ONCOKB
FANCC	6	ONCOKB
FGFR1	6	ONCOKB
FGFR4	6	ONCOKB
FLCN	6	ONCOKB
FUBP1	6	ONCOKB
GATA1	6	ONCOKB
GATA2	6	ONCOKB
H3-3A	6	ONCOKB
H3C2	6	ONCOKB
HGF	6	ONCOKB
IKZF1	6	ONCOKB
IRF4	6	ONCOKB
JUN	6	ONCOKB
KDM5A	6	ONCOKB
KDR	6	ONCOKB
KEAP1	6	ONCOKB
KMT2A	6	ONCOKB
KMT2C	6	ONCOKB
MAP2K2	6	ONCOKB
MAP2K4	6	ONCOKB
MAPK1	6	ONCOKB
MDM2	6	ONCOKB
MDM4	6	ONCOKB
MITF	6	ONCOKB
MTOR	6	ONCOKB
MUTYH	6	ONCOKB
MYC	6	ONCOKB
MYCL	6	ONCOKB
MYCN	6	ONCOKB
NKX2-1	6	ONCOKB
NSD2	6	ONCOKB
NSD3	6	ONCOKB
NTRK1	6	ONCOKB
NTRK2	6	ONCOKB
NTRK3	6	ONCOKB
PALB2	6	ONCOKB
PDCD1LG2	6	ONCOKB
PDGFRB	6	ONCOKB
PHF6	6	ONCOKB
PIM1	6	ONCOKB
PRKAR1A	6	ONCOKB
RAD21	6	ONCOKB
RAF1	6	ONCOKB
RARA	6	ONCOKB
ROS1	6	ONCOKB
RUNX1	6	ONCOKB
SDHA	6	ONCOKB
SDHB	6	ONCOKB
SDHC	6	ONCOKB
SDHD	6	ONCOKB
SOX2	6	ONCOKB
SPEN	6	ONCOKB
SRC	6	ONCOKB
SRSF2	6	ONCOKB
STAT3	6	ONCOKB
SUFU	6	ONCOKB
SYK	6	ONCOKB
TENT5C	6	ONCOKB
TGFBR2	6	ONCOKB
TMPRSS2	6	ONCOKB
TNFRSF14	6	ONCOKB
TSC2	6	ONCOKB
XPO1	6	ONCOKB
AKT3	5	ONCOKB
ARAF	5	ONCOKB
ARID1B	5	ONCOKB
AURKA	5	ONCOKB
AURKB	5	ONCOKB
AXL	5	ONCOKB
BCL10	5	ONCOKB
BCORL1	5	ONCOKB
BCR	5	ONCOKB
BIRC3	5	ONCOKB
BLM	5	ONCOKB
BTG1	5	ONCOKB
CDK8	5	ONCOKB
CDKN2B	5	ONCOKB
CHEK1	5	ONCOKB
CRKL	5	ONCOKB
CYLD	5	ONCOKB
DOT1L	5	ONCOKB
EED	5	ONCOKB
EIF4A2	5	ONCOKB
EPHA3	5	ONCOKB
EPHB1	5	ONCOKB
ERCC4	5	ONCOKB
ETV1	5	ONCOKB
FAS	5	ONCOKB
FGF19	5	ONCOKB
FGF3	5	ONCOKB
FGF4	5	ONCOKB
FH	5	ONCOKB
FLT1	5	ONCOKB
FLT4	5	ONCOKB
FOXO1	5	ONCOKB
FOXP1	5	ONCOKB
GRIN2A	5	ONCOKB
GSK3B	5	ONCOKB
ID3	5	ONCOKB
IGF1R	5	ONCOKB
IKBKE	5	ONCOKB
IL7R	5	ONCOKB
INPP4B	5	ONCOKB
IRS2	5	ONCOKB
KLF4	5	ONCOKB
LMO1	5	ONCOKB
MALT1	5	ONCOKB
MAP3K13	5	ONCOKB
MCL1	5	ONCOKB
MEF2B	5	ONCOKB
MRE11	5	ONCOKB
MSH3	5	ONCOKB
MSI2	5	ONCOKB
NBN	5	ONCOKB
NCOR1	5	ONCOKB
NFKBIA	5	ONCOKB
NSD1	5	ONCOKB
NT5C2	5	ONCOKB
P2RY8	5	ONCOKB
PDCD1	5	ONCOKB
PIK3CB	5	ONCOKB
PMS2	5	ONCOKB
POLD1	5	ONCOKB
POLE	5	ONCOKB
POT1	5	ONCOKB
PPARG	5	ONCOKB
RAC1	5	ONCOKB
RAD50	5	ONCOKB
RAD51	5	ONCOKB
RAD51B	5	ONCOKB
RBM10	5	ONCOKB
REL	5	ONCOKB
RHOA	5	ONCOKB
RICTOR	5	ONCOKB
RPTOR	5	ONCOKB
SETBP1	5	ONCOKB
