chrom	start	end	cpg_label
chr6	144007487	144008719	nanoimprint_PLAGL1_HGNC:9046
chr7	50782178	50783005	nanoimprint_GRB10_HGNC:4564
chr7	130490866	130493279	nanoimprint_MEST_HGNC:7028
chr11	1997761	2003229	nanoimprint_H19_HGNC:4713
chr11	2698767	2700902	nanoimprint_KCNQ1OT1_HGNC:6295
chr14	100809335	100811397	nanoimprint_MEG3_HGNC:14575
chr14	100824187	100827641	nanoimprint_MEG3_HGNC:14575
chr14	100904568	100904952	nanoimprint_MEG8_HGNC:14574
chr15	23647363	23648635	nanoimprint_MAGEL2_HGNC:6814
chr15	24954857	24956829	nanoimprint_SNURF_HGNC:11171
chr19	56837125	56841599	nanoimprint_PEG3_HGNC:8826
chr20	58838984	58843557	nanoimprint_GNAS-NESP_HGNC:4392
chr20	58850594	58852978	nanoimprint_GNAS-AS1_HGNC:24872
chr20	58853961	58856408	nanoimprint_GNASXL_HGNC:4392
chr20	58888390	58890146	nanoimprint_GNASA/B_HGNC:4392
chr1	64419	65418	promoter_OR4F5_HGNC:14825
chr1	451679	452678	promoter_OR4F29_HGNC:31275
chr1	686655	687654	promoter_OR4F16_HGNC:15079
chr1	922923	923922	promoter_SAMD11_HGNC:28706
chr1	959257	960256	promoter_NOC2L_HGNC:24517
chr1	959584	960583	promoter_KLHL17_HGNC:24023
chr1	965482	966481	promoter_PLEKHN1_HGNC:25284
chr1	982094	983093	promoter_PERM1_HGNC:28208
chr1	1000098	1001097	promoter_HES4_HGNC:24149
chr1	1012497	1013496	promoter_ISG15_HGNC:4053
chr1	1019120	1020119	promoter_AGRN_HGNC:329
chr1	1074307	1075306	promoter_RNF223_HGNC:40020
chr1	1116090	1117089	promoter_C1orf159_HGNC:26062
chr1	1172880	1173879	promoter_TTLL10_HGNC:26693
chr1	1206593	1207592	promoter_TNFRSF18_HGNC:11914
chr1	1214154	1215153	promoter_TNFRSF4_HGNC:11918
chr1	1232002	1233001	promoter_SDF4_HGNC:24188
chr1	1231237	1232236	promoter_B3GALT6_HGNC:17978
chr1	1246723	1247722	promoter_C1QTNF12_HGNC:32308
chr1	1273855	1274854	promoter_UBE2J2_HGNC:19268
chr1	1279436	1280435	promoter_SCNN1D_HGNC:10601
chr1	1307597	1308596	promoter_PUSL1_HGNC:26914
chr1	1307931	1308930	promoter_ACAP3_HGNC:16754
chr1	1324661	1325660	promoter_INTS11_HGNC:26052
chr1	1323802	1324801	promoter_CPTP_HGNC:28116
chr1	1330280	1331279	promoter_TAS1R3_HGNC:15661
chr1	1349419	1350418	promoter_DVL1_HGNC:3084
chr1	1358556	1359555	promoter_MXRA8_HGNC:7542
chr1	1375208	1376207	promoter_AURKAIP1_HGNC:24114
chr1	1399336	1400335	promoter_CCNL2_HGNC:20570
chr1	1407294	1408293	promoter_MRPL20_HGNC:14478
chr1	1421277	1422276	promoter_ANKRD65_HGNC:42950
chr1	1424871	1425870	promoter_TMEM88B_HGNC:37099
chr1	1434690	1435689	promoter_VWA1_HGNC:30910
chr1	1448689	1449688	promoter_ATAD3C_HGNC:32151
chr1	1470765	1471764	promoter_ATAD3B_HGNC:24007
chr1	1511162	1512161	promoter_ATAD3A_HGNC:25567
chr1	1540625	1541624	promoter_TMEM240_HGNC:25186
chr1	1574864	1575863	promoter_SSU72_HGNC:25016
chr1	1600136	1601135	promoter_FNDC10_HGNC:42951
chr1	1614500	1615499	promoter_MIB2_HGNC:30577
chr1	1631173	1632172	promoter_MMP23B_HGNC:7171
chr1	1659005	1660004	promoter_CDK11B_HGNC:1729
chr1	1692796	1693795	promoter_SLC35E2B_HGNC:33941
chr1	1724358	1725357	promoter_CDK11A_HGNC:1730
chr1	1778471	1779470	promoter_NADK_HGNC:29831
chr1	1891088	1892087	promoter_GNB1_HGNC:4396
chr1	1914260	1915259	promoter_CALML6_HGNC:24193
chr1	1919280	1920279	promoter_TMEM52_HGNC:27916
chr1	2003787	2004786	promoter_CFAP74_HGNC:29368
chr1	2018345	2019344	promoter_GABRD_HGNC:4084
chr1	2049411	2050410	promoter_PRKCZ_HGNC:9412
chr1	2194773	2195772	promoter_FAAP20_HGNC:26428
chr1	2227319	2228318	promoter_SKI_HGNC:10896
chr1	2391555	2392554	promoter_MORN1_HGNC:25852
chr1	2390841	2391840	promoter_RER1_HGNC:30309
chr1	2412565	2413564	promoter_PEX10_HGNC:8851
chr1	2475289	2476288	promoter_PLCH2_HGNC:29037
chr1	2526597	2527596	promoter_PANK4_HGNC:19366
chr1	2530264	2531263	promoter_HES5_HGNC:19764
chr1	2555371	2556370	promoter_TNFRSF14_HGNC:11912
chr1	2585777	2586776	promoter_PRXL2B_HGNC:28390
chr1	2633017	2634016	promoter_MMEL1_HGNC:14668
chr1	2801694	2802693	promoter_TTC34_HGNC:34297
chr1	3020467	3021466	promoter_ACTRT2_HGNC:24026
chr1	3068203	3069202	promoter_PRDM16_HGNC:14000
chr1	3453665	3454664	promoter_ARHGEF16_HGNC:15515
chr1	3611509	3612508	promoter_MEGF6_HGNC:3232
chr1	3624015	3625014	promoter_TPRG1L_HGNC:27007
